trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
19,False,"{'a': 0.05, 'e': 0.5816830894638835}",20,0,-92.57900307649624,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.05, 'e': 0.5403023058681397}",30,24,12.086052257666987,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.05, 'e': 0.49757104789172696}",25,14,-7.274283152567208,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.05, 'e': 0.4535961214255773}",25,0,-41.11981152626102,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
23,False,"{'a': 0.05, 'e': 0.40848744088415717}",20,0,-26.798972651954337,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
24,False,"{'a': 0.05, 'e': 0.3623577544766734}",20,8,-67.78836443091252,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 1}",1
25,False,"{'a': 0.05, 'e': 0.3153223623952687}",20,8,-21.666255428021767,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
26,False,"{'a': 0.05, 'e': 0.26749882862458735}",25,0,18.4080925653642,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
27,False,"{'a': 0.05, 'e': 0.2190066870930415}",20,0,-95.01400307838452,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
28,False,"{'a': 0.05, 'e': 0.16996714290024081}",25,13,-13.972596183678304,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
29,False,"{'a': 0.05, 'e': 0.1205027693673664}",20,15,10.5332387761502,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.05, 'e': 0.0707372016677029}",30,20,16.96419702541182,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.05, 'e': 0.020794827803092428}",25,4,33.888241155722284,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.05, 'e': 0.029199522301288815}",30,14,26.529191525425556,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.05, 'e': 0.07912088880673408}",20,13,12.392334075005476,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.05, 'e': 0.12884449429552486}",25,6,26.535513974087934,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.05, 'e': 0.17824605564949209}",25,0,29.00059392735275,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
36,False,"{'a': 0.05, 'e': 0.2272020946930871}",20,11,-29.204770507781923,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
37,False,"{'a': 0.05, 'e': 0.27559024682451294}",20,16,8.066417243217062,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.05, 'e': 0.3232895668635036}",35,2,-88.69228362457649,"{0: 26, 1: 1, 2: 2, 3: 3, 4: 1}",1
39,False,"{'a': 0.05, 'e': 0.3701808313512871}",20,11,-30.699531666732106,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
40,False,"{'a': 0.05, 'e': 0.4161468365471424}",20,3,-84.72767993024605,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 1}",1
41,False,"{'a': 0.05, 'e': 0.46107269137671314}",25,0,-20.430967988521626,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
42,False,"{'a': 0.05, 'e': 0.5048461045998576}",25,13,-32.49863248244358,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
43,False,"{'a': 0.05, 'e': 0.547357665480271}",25,1,-53.92459422922061,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 1}",1
44,False,"{'a': 0.05, 'e': 0.5885011172553458}",20,0,-33.82512343640619,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
45,False,"{'a': 0.05, 'e': 0.6281736227227391}",25,0,-90.2460387097358,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
46,False,"{'a': 0.05, 'e': 0.6662760212798244}",30,0,-50.85701767070477,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
