trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
23,False,"{'a': 0.02, 'e': 0.63128364550692595}",20,0,-48.91544465338533,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
24,False,"{'a': 0.02, 'e': 0.61878339180614084}",25,3,-48.76398583058995,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 0}",1
25,False,"{'a': 0.02, 'e': 0.60653065971263342}",20,0,-25.696072172326346,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
26,False,"{'a': 0.02, 'e': 0.59452054797019438}",20,4,-107.53195200772197,"{0: 8, 1: 2, 2: 3, 3: 2, 4: 1}",1
27,False,"{'a': 0.02, 'e': 0.58274825237398964}",30,0,-150.8965592611744,"{0: 23, 1: 1, 2: 1, 3: 2, 4: 3}",0
28,False,"{'a': 0.02, 'e': 0.57120906384881487}",25,0,-91.15833185201544,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
29,False,"{'a': 0.02, 'e': 0.55989836656540204}",25,0,-143.7876558838824,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
30,False,"{'a': 0.02, 'e': 0.5488116360940265}",25,0,-133.71744690935736,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
31,False,"{'a': 0.02, 'e': 0.53794443759467447}",30,16,2.561688258081403,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
32,False,"{'a': 0.02, 'e': 0.52729242404304855}",20,5,-86.79899211217523,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 2}",1
33,False,"{'a': 0.02, 'e': 0.51685133449169918}",20,9,-6.301102826894554,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
34,False,"{'a': 0.02, 'e': 0.50661699236558955}",30,0,-26.96113718483619,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
35,False,"{'a': 0.02, 'e': 0.49658530379140947}",20,0,21.874456387119647,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
36,False,"{'a': 0.02, 'e': 0.48675225595997168}",25,0,-19.08721421110362,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
37,False,"{'a': 0.02, 'e': 0.47711391552103438}",20,0,-28.94415136131817,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
38,False,"{'a': 0.02, 'e': 0.46766642700990924}",25,10,-70.7002580852649,"{0: 11, 1: 0, 2: 1, 3: 2, 4: 1}",1
39,False,"{'a': 0.02, 'e': 0.45840601130522352}",25,8,-10.496407964465316,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
40,False,"{'a': 0.02, 'e': 0.44932896411722156}",25,0,-102.51880392434802,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
41,False,"{'a': 0.02, 'e': 0.44043165450599925}",20,0,-44.260525481186505,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
42,False,"{'a': 0.02, 'e': 0.43171052342907973}",20,0,27.994855974194486,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.02, 'e': 0.42316208231774882}",20,3,24.94331661441413,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.02, 'e': 0.41478291168158138}",25,11,20.850336564046295,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.02, 'e': 0.40656965974059911}",20,0,-52.65314383973017,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
46,False,"{'a': 0.02, 'e': 0.39851904108451414}",20,0,-40.97409030503476,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
47,False,"{'a': 0.02, 'e': 0.39062783535852108}",20,13,-21.453163805741983,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
48,False,"{'a': 0.02, 'e': 0.38289288597511206}",35,0,-7.201472467886347,"{0: 29, 1: 3, 2: 2, 3: 1, 4: 0}",0
49,False,"{'a': 0.02, 'e': 0.37531109885139957}",25,20,9.233082674562175,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.02, 'e': 0.36787944117144233}",25,1,-95.78980516994365,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 2}",1
51,False,"{'a': 0.02, 'e': 0.3605949401730783}",20,12,7.9025961793682065,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.02, 'e': 0.35345468195878016}",25,8,6.1934647281458535,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.02, 'e': 0.3464558103300574}",30,0,1.5568440566108326,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
54,False,"{'a': 0.02, 'e': 0.33959552564493911}",20,13,12.92178209265395,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.02, 'e': 0.33287108369807955}",20,10,16.53738737273885,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.02, 'e': 0.32627979462303947}",20,15,6.832854432659919,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.02, 'e': 0.31981902181630384}",25,0,6.285981000891263,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
58,False,"{'a': 0.02, 'e': 0.31348618088260533}",20,7,-49.16198816609609,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
59,False,"{'a': 0.02, 'e': 0.30727873860113125}",25,16,19.811305982261818,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.02, 'e': 0.30119421191220214}",20,11,5.339431725745859,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.02, 'e': 0.29523016692401421}",20,0,20.31841557850918,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
62,False,"{'a': 0.02, 'e': 0.28938421793905061}",20,0,30.67876445995731,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.02, 'e': 0.2836540264997704}",20,0,7.10446550492877,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
64,False,"{'a': 0.02, 'e': 0.27803730045319414}",20,0,2.0423904313817687,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
65,False,"{'a': 0.02, 'e': 0.27253179303401259}",25,10,21.432746437163225,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.02, 'e': 0.26713530196585034}",20,6,14.801691396567863,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.02, 'e': 0.26184566858032599}",25,0,-28.976927161931332,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
68,False,"{'a': 0.02, 'e': 0.25666077695355588}",20,6,19.74958947293367,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.02, 'e': 0.25157855305975646}",25,0,-13.156655349618825,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
70,False,"{'a': 0.02, 'e': 0.24659696394160643}",25,13,-9.702786344908489,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
71,False,"{'a': 0.02, 'e': 0.24171401689703645}",30,0,-31.012180792286145,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
72,False,"{'a': 0.02, 'e': 0.23692775868212176}",20,9,21.802907812239873,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.02, 'e': 0.23223627472975883}",25,13,-2.9581261040700992,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.02, 'e': 0.22763768838381274}",25,0,25.885136598213425,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
75,False,"{'a': 0.02, 'e': 0.22313016014842982}",25,0,-5.94307390313506,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
76,False,"{'a': 0.02, 'e': 0.21871188695221475}",30,15,16.11800906538253,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.02, 'e': 0.21438110142697794}",20,0,10.565518941853918,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
78,False,"{'a': 0.02, 'e': 0.21013607120076472}",25,6,9.030481743072947,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.02, 'e': 0.20597509820488344}",25,0,15.723945408952098,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
